name,price,is_supported,incoming_call,outgoing_call,outgoing_call_from_to_Armadillo,calls_from_Armadillo_to_Armadillo_connection,to_Armadillo,to_World
Afghanistan,,No,1.25,1.55,1.55,0,0.1,1.8
Albania,0.189,Yes,0.25,0.85,0.85,0,0.1,0.45
Algeria,0.81,Yes,0.35,0.95,0.95,0,0.1,1.1
Andorra,0.027,Yes,2.5,2.5,2.5,0,0.1,1.1
Angola,,No,0,0.69,0.25,0.04,0.1,1.1
Anguilla,0.081,No,0,0.65,0.25,0.04,0.1,0.59
Antigua and Barbuda,0.081,No,0,0.65,0.25,0.04,0.1,0.59
Argentine,0.0216,Yes,0,0.69,0.25,0.04,0.1,0.45
Armenia,0.054,Yes,0,0.75,0.25,0.04,0.1,1.1
Aruba,0.108,Yes,0,0.65,0.25,0.04,0.1,1.55
Australia,0.0033,Yes,0,0.49,0.25,0.04,0.1,0.45
Austria,0.006,Yes,0,0.39,0.25,0.04,0.1,0.25
Azerbaijan,0.027,Yes,0,0.75,0.25,0.04,0.1,0.59
Bahamas,0.081,Yes,0.25,0.69,0.69,0,0.1,0.59
Bahrain,0.27,Yes,0,0.59,0.25,0.04,0.1,1.1
Bangladesh,,No,0,0.59,0.25,0.04,0.1,1.1
Barbados,0.108,Yes,0,0.65,0.25,0.04,0.1,1.1
Belarus,0.0054,Yes,0,0.95,0.35,0,0.1,0.45
Belgium,0.0054,Yes,0,0.49,0.25,0.04,0.1,0.25
Belize,9.4241,Yes,1.25,1.75,1.75,0,0.1,1.1
Bermuda,0.108,Yes,0,0.65,0.25,0.04,0.1,0.59
Bosnia-Herzegovina,0.0522,Yes,0,0.85,0.25,0.04,0.1,0.45
Brazil,0.0216,Yes,0,0.49,0.25,0.04,0.1,0.45
British Virgin Islands,0.108,No,0,0.65,0.25,0.04,0.1,0.59
Brunei,,No,0.5,1,1,0,0.1,1.1
Bulgaria,0.006,Yes,0,0.39,0.25,0.04,0.1,0.25
Cambodia,0.9,Yes,0,0.65,0.25,0.04,0.1,0.59
Canada,0.0216,Yes,0,0.65,0.65,0,0.1,0.45
Cape Verde Island,0.2376,Yes,0,0.85,0.25,0.04,0.1,0.59
Cayman Island,0.081,No,0,0.65,0.25,0.04,0.1,1.1
Chile,0.1826,Yes,0,0.55,0.25,0.04,0.1,0.25
China,0.018,Yes,0,0.29,0.25,0.04,0.1,0.25
Colombia,0.0216,Yes,0,0.49,0.25,0.04,0.1,0.25
Congo Dem. Republic,0.162,Yes,0.25,1.55,1.55,0,0.1,0.59
Costa Rica,0.0216,Yes,0,0.49,0.25,0.04,0.1,1.1
Croatia,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Cyprus,0.0036,Yes,0,0.29,0.25,0.04,0.1,0.25
Czech.Rep.,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Denmark,0.0036,Yes,0,0.49,0.25,0.04,0.1,0.25
Dominica,0.081,No,0,0.75,0.25,0.04,0.1,0.59
Dominican Republic,0.0216,Yes,0,0.55,0.25,0.04,0.1,0.25
Ecuador,0.0288,Yes,0.25,0.75,0.75,0,0.1,0.45
Egypt,0.045,Yes,0,0.55,0.25,0.04,0.1,0.45
El Salvador,0.0216,Yes,0,0.69,0.25,0.04,0.1,0.25
Estonia,0.0036,Yes,0,0.29,0.25,0.04,0.1,0.25
Falkland Islands,,No,4,4.5,4.5,0,0.1,1.55
Faroe Islands,0.0144,Yes,0,0.75,0.25,0.04,0.1,0.25
Finland,0.0036,Yes,0,0.39,0.25,0.04,0.1,0.25
France,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Gambia,0.162,Yes,0.5,1,1,0,0.1,1.1
Georgia,0.0162,Yes,0,0.75,0.25,0.04,0.1,0.45
Germany,0.0054,Yes,0,0.49,0.25,0.04,0.1,0.25
Ghana,,No,0,0.75,0.25,0.04,0.1,1.1
Gibraltar,0.007,Yes,0,0.69,0.25,0.04,0.1,0.25
Greece,0.006,Yes,0,0.39,0.25,0.04,0.1,0.25
Greenland,0.027,Yes,0,0.55,0.25,0.04,0.1,0.25
Grenada,0.081,No,0,0.65,0.25,0.04,0.1,0.59
Guatemala,0.027,Yes,0,0.59,0.25,0.04,0.1,0.25
Haiti,0.108,Yes,0.25,0.85,0.85,0,0.1,1.1
Honduras,0.027,Yes,0,0.65,0.25,0.04,0.1,0.25
HongKong,0.0144,Yes,0,0.39,0.25,0.04,0.1,0.59
Hungary,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Iceland,0.006,Yes,0,0.59,0.25,0.04,0.1,0.25
India,0.045,Yes,0,0.55,0.25,0.04,0.1,1.1
Indonesia,0.0144,Yes,0,0.65,0.25,0.04,0.1,1.1
Iraq,9.4241,Yes,0.5,1,1,0,0.1,1.1
Ireland,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Israel,0.0064,Yes,0,0.49,0.25,0.04,0.1,0.25
Italy,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Jamaica,0.081,No,0,0.75,0.25,0.04,0.1,1.1
Japan,0.0126,Yes,0,0.55,0.25,0.04,0.1,1.1
Jordan,0.018,Yes,0,0.69,0.25,0.04,0.1,1.1
Kazakhstan,0.0108,Yes,0,0.55,0.25,0.04,0.1,0.59
Kenya,0.216,Yes,0,0.59,0.25,0.04,0.1,1.1
Korea (South),0.0108,Yes,0,0.39,0.25,0.04,0.1,0.45
Kosovo,0.063,Yes,0.5,1,1,0,0.1,0.59
Kuwait,0.018,Yes,0,0.55,0.25,0.04,0.1,1.55
Kyrgyzstan,2.151,Yes,0,0.75,0.25,0.04,0.1,0.59
Latvia,0.0036,Yes,0,0.39,0.25,0.04,0.1,0.25
Lebanon,4.4956,Yes,0,0.69,0.25,0.04,0.1,1.1
Liechtenstein,0.006,Yes,0,0.59,0.25,0.04,0.1,0.25
Lithuania,0.0036,Yes,0,0.49,0.25,0.04,0.1,0.25
Luxembourg,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Macao,0.1188,Yes,0.65,1.25,1.25,0,0.1,1.1
Macedonia,0.162,Yes,0,1,0.25,0.04,0.1,0.59
Malaysia,0.018,Yes,0,0.49,0.25,0.04,0.1,1.1
Malta,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Mauritius,0.0936,Yes,0,0.69,0.25,0.04,0.1,0.59
Mexico,0.0234,Yes,0,0.39,0.25,0.04,0.1,0.25
Moldova,0.027,Yes,0,0.75,0.25,0.04,0.1,0.59
Monaco,0.297,Yes,0,0.95,0.25,0.04,0.1,0.45
Mongolia,,No,0,0.55,0.25,0.04,0.1,0.59
Montenegro,0.0162,Yes,0.25,0.85,0.85,0,0.1,0.45
Montserrat,0.081,No,0.25,0.85,0.85,0,0.1,1.1
Morocco,0.0684,Yes,0.35,0.95,0.95,0,0.1,1.55
Mozambique,,No,0.25,0.75,0.75,0,0.1,1.1
Myanmar,0.45,Yes,0,0.65,0.25,0.04,0.1,1.1
Nepal,0.1688,Yes,0,0.65,0.25,0.04,0.1,0.45
Netherlands,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Netherlands Antilles,0.108,No,0,0.59,0.25,0.04,0.1,1.1
New Zealand,0.108,Yes,0,0.39,0.25,0.04,0.1,1.1
Nicaragua,0.027,Yes,0.25,0.69,0.69,0,0.1,0.25
Nigeria,0.1134,Yes,0.35,0.95,0.95,0,0.1,1.1
Norway,0.0036,Yes,0,0.49,0.25,0.04,0.1,0.25
Oman,0.045,Yes,0,0.75,0.25,0.04,0.1,1.1
Pakistan,9.4241,Yes,0.25,0.85,0.85,0,0.1,0.59
Palestine,0.0159,No,0,0.59,0.25,0.04,0.1,1.1
Panama,0.0216,Yes,0,0.65,0.25,0.04,0.1,0.45
Paraguay,0.0216,Yes,0,0.49,0.25,0.04,0.1,0.59
Peru,0.027,Yes,0,0.55,0.25,0.04,0.1,0.25
Philippines,0.0046,Yes,0,0.65,0.25,0.04,0.1,0.59
Poland,0.006,Yes,0,0.39,0.25,0.04,0.1,0.25
Portugal,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Puerto Rico,0.0216,Yes,0,0.49,0.25,0.04,0.1,0.45
Qatar,0.0393,Yes,0,0.75,0.25,0.04,0.1,1.1
Romania,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Russia,0.0036,Yes,0,0.49,0.25,0.04,0.1,0.25
San Marino,0.006,Yes,0,0.75,0.25,0.04,0.1,0.25
Saudi Arabia,0.054,Yes,0,0.59,0.25,0.04,0.1,1.1
Serbia,0.081,Yes,0.25,1,1,0,0.1,0.45
Seychelles,0.2106,Yes,2.8,3.35,3.35,0,0.1,1.1
Sierra Leone,,No,0.5,1,1,0,0.1,0.59
Singapore,0.0046,Yes,0,0.49,0.25,0.04,0.1,1.1
Slovakia,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Slovenia,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
South Africa,0.054,Yes,0,0.59,0.25,0.04,0.1,0.45
Spain,0.0036,Yes,0,0.49,0.25,0.04,0.1,0.25
Sri Lanka,0.045,Yes,0,0.75,0.25,0.04,0.1,0.59
St.Kitts,0.081,No,0,0.65,0.25,0.04,0.1,0.59
St.Lucia,0.081,No,0,0.65,0.25,0.04,0.1,0.59
St.Vincent / Grenada,0.081,No,0,0.65,0.25,0.04,0.1,0.59
Surinam,,No,0.25,0.95,0.95,0,0.1,0.59
Sweden,0.0036,Yes,0,0.39,0.25,0.04,0.1,0.25
Switzerland,0.0084,Yes,0.25,0.85,0.85,0,0.1,0.25
Syria,,No,0,0.85,0.25,0.04,0.1,1.55
Taiwan,0.0078,Yes,0,0.75,0.25,0.04,0.1,0.45
Tajikistan,0.0479,Yes,0,0.65,0.25,0.04,0.1,1.1
Tanzania,0.478,Yes,0.25,0.75,0.75,0,0.1,1.1
Thailand,0.0046,Yes,0,0.39,0.25,0.04,0.1,0.59
Trinidad &Tobago,,No,2.15,2.5,2.5,0,0.1,1.1
Tunisia,0.3132,Yes,1.25,1.55,1.55,0,0.1,1.55
Turk & Caicos Isl.,0.081,No,0,0.65,0.25,0.04,0.1,0.59
Turkey,0.0054,Yes,0,0.49,0.25,0.04,0.1,0.59
Uganda,,No,0.25,0.85,0.85,0,0.1,1.1
Ukraine,0.0108,Yes,0,0.55,0.25,0.04,0.1,0.25
United Arab Em.,0.0342,Yes,0.65,1.5,1.5,0,0.1,0.45
United Kingdom,0.0072,Yes,0,0.39,0.25,0.04,0.1,0.25
Uruguay,0.027,Yes,0,0.65,0.25,0.04,0.1,0.59
USA,0.0054,Yes,0,0.49,0.25,0.04,0.1,0.2
Uzbekistan,0.0378,Yes,0,0.59,0.25,0.04,0.1,0.59
Vanuatu Republic,,No,2.15,2.5,2.5,0,0.1,1.1
Vatican City,0.006,Yes,0,0.49,0.25,0.04,0.1,0.25
Vietnam,0.1188,Yes,0,0.55,0.25,0.04,0.1,1.1
